timestamp,lat,lon,vel,elev,prox,warninglight
a23:17:20.0 28/11/2017,37.8667,-122.2622,0.18,69.1,0,0
a23:17:22.0 28/11/2017,37.8667,-122.2622,0.18,69.4,0,0
a23:17:23.0 28/11/2017,37.8667,-122.2622,0.14,69.4,0,0
a23:17:24.0 28/11/2017,37.8667,-122.2622,0.11,69.4,0,0
a23:17:28.0 28/11/2017,37.8667,-122.2622,0.13,69.4,0,0
a23:17:30.0 28/11/2017,37.8667,-122.2622,0.17,69.4,0,0
a23:17:31.0 28/11/2017,37.8667,-122.2623,0.17,69.4,0,0
a23:17:32.984 28/11/2017,37.8667,-122.2623,0.17,69.4,0,0
a23:17:34.0 28/11/2017,37.8667,-122.2623,0.15,69.4,0,0
a23:17:36.0 28/11/2017,37.8667,-122.2623,0.18,69.4,0,0
a23:17:36.984 28/11/2017,37.8667,-122.2623,0.15,69.4,0,0
a23:17:38.0 28/11/2017,37.8667,-122.2623,0.16,69.4,0,0
a23:17:40.0 28/11/2017,37.8667,-122.2623,0.18,69.4,0,0
a23:17:40.984 28/11/2017,37.8667,-122.2623,0.16,69.4,0,0
a23:17:43.0 28/11/2017,37.8667,-122.2623,0.16,69.6,0,0
a23:17:44.0 28/11/2017,37.8667,-122.2623,0.15,69.6,0,0
a23:17:44.984 28/11/2017,37.8667,-122.2623,0.15,69.6,0,0
a23:17:47.0 28/11/2017,37.8667,-122.2623,0.15,69.5,0,0
a23:17:48.0 28/11/2017,37.8667,-122.2623,0.13,69.5,0,0
a23:17:48.984 28/11/2017,37.8667,-122.2623,0.11,69.5,0,0
a23:17:51.0 28/11/2017,37.8667,-122.2623,0.11,69.5,0,0
a23:17:52.0 28/11/2017,37.8667,-122.2623,0.07,69.5,0,0
a23:17:52.984 28/11/2017,37.8667,-122.2623,0.09,69.5,0,0
a23:17:55.0 28/11/2017,37.8667,-122.2623,0.09,69.2,0,0
a23:17:56.0 28/11/2017,37.8667,-122.2623,0.06,69.2,0,0
a23:17:56.984 28/11/2017,37.8667,-122.2623,0.1,69.2,0,0
a23:17:59.0 28/11/2017,37.8667,-122.2623,0.03,69.2,0,0
a23:18:0.0 28/11/2017,37.8667,-122.2623,0.01,69.2,0,0
a23:18:0.984 28/11/2017,37.8667,-122.2623,0.02,69.2,0,0
a23:18:3.0 28/11/2017,37.8667,-122.2623,0.02,69.4,0,0
a23:18:4.0 28/11/2017,37.8667,-122.2623,0.02,69.4,0,0
a23:18:4.984 28/11/2017,37.8667,-122.2623,0.02,69.4,0,0
a23:18:7.0 28/11/2017,37.8667,-122.2623,0.02,70.2,0,0
a23:18:8.0 28/11/2017,37.8667,-122.2623,0.02,70.2,0,0
a23:18:8.984 28/11/2017,37.8667,-122.2623,0.01,70.2,0,0
a23:18:11.0 28/11/2017,37.8667,-122.2623,0.01,70.2,0,0
a23:18:12.0 28/11/2017,37.8667,-122.2623,0,70.2,0,0
a23:18:12.984 28/11/2017,37.8667,-122.2623,0.02,70.2,0,0
a23:18:15.0 28/11/2017,37.8667,-122.2623,0.02,70.2,0,0
a23:18:16.0 28/11/2017,37.8667,-122.2623,0.03,70.2,0,0
a23:18:16.984 28/11/2017,37.8667,-122.2623,0.01,70.2,0,0
a23:18:18.0 28/11/2017,37.8667,-122.2623,0.02,70.2,0,0
a23:18:20.0 28/11/2017,37.8667,-122.2623,0.01,70.2,0,0
a23:18:20.984 28/11/2017,37.8667,-122.2623,0,70.2,0,0
a23:18:22.0 28/11/2017,37.8667,-122.2623,0.05,70.2,0,0
a23:18:23.0 28/11/2017,37.8667,-122.2623,0.05,70.2,0,0
a23:18:24.984 28/11/2017,37.8667,-122.2623,0.01,70.2,0,0
a23:18:26.0 28/11/2017,37.8667,-122.2623,0.03,70.2,0,0
a23:18:27.0 28/11/2017,37.8667,-122.2623,0.01,70.2,0,0
aa23:18:28.984 28/11/2017,37.8667,-122.2623,0.01,70.3,0,0
a23:18:30.0 28/11/2017,37.8667,-122.2623,0.01,70.3,0,0
a23:18:31.0 28/11/2017,37.8667,-122.2623,0.03,70.3,0,0
a23:18:32.984 28/11/2017,37.8667,-122.2623,0.02,70.3,0,0
a23:18:35.0 28/11/2017,37.8667,-122.2623,0.07,70.3,1,0
a23:18:36.984 28/11/2017,37.8667,-122.2623,0.09,70.3,1,0
a23:18:42.0 28/11/2017,37.8667,-122.2623,0.27,70.3,0,0
a23:18:44.0 28/11/2017,0,-122.2623,0.27,69.8,1,0
a23:18:44.984 28/11/2017,37.8667,-122.2623,0.42,69.8,0,0
aa23:18:47.0 28/11/2017,37.8667,-122.2623,0.85,69.8,0,0
a23:18:48.984 28/11/2017,37.8667,-122.2623,1.15,69.8,0,0
a23:18:50.0 28/11/2017,37.8667,-122.2623,1.09,69.8,0,0
a23:18:52.0 28/11/2017,37.8667,-122.2623,0.8,69.8,0,0
a23:18:54.0 28/11/2017,37.8667,-122.2623,0.24,69.8,1,0
a23:18:56.0 28/11/2017,37.8667,-122.2623,0.33,69.8,1,0
a23:18:56.984 28/11/2017,37.8667,-122.2623,0.46,69.8,0,0
